Samples,TICID,KICID,Tmag,Kmag,Teff,Rs,GAIAID,RUWE,Gmag,Teff_G,logg_G,[Fe/H]_G,Rs_G,SpType-ELS,Prot,Nf_previous,Nf_TESS,TESS_Sector,Nf_Kepler,Kepler_Quarter,Separation 
Sample-1,164670606,8935655,12.35,13.676,3371,0.410355,2.10681E+18,1.1900032,13.574902,,,,,M,2,491,49,"S14, S26, S40",1602,Q1-Q17,
Sample-1,120629872,2692704,12.13,13.324,3482,0.47526,2.09986E+18,1.3013248,13.289693,,,,,M,14.9,387,43,"S14, S40, S41",993,Q1-Q13,6.292539
Sample-1,27454242,12314646,13.15,14.144,3675,0.906998,2.13558E+18,2.048585,14.148363,3621.5513,4.0166,-0.5964,1.0869,M,2.72,387,19,S40,1191,Q1-Q17,
Sample-1,27770198,11147271,14.13,15.384,3435,0.423412,2.08671E+18,1.1977603,15.303564,3468.937,4.5662,-0.5364,0.4942,M,1.88,387,20,"S40, S41",198,Q1-Q5,
Sample-1,158552258,7350067,14.42,15.737,3391,0.373314,2.1026E+18,1.0211711,15.633045,3448.6882,4.7255,-0.3871,0.4236,M,3.51,344,26,"S40, S41",958,Q1-Q17,
Sample-1,406952118,12646841,13.33,14.574,3445,0.542126,2.13923E+18,1.1672926,14.5115,3524.6135,4.4027,-0.4292,0.693,M,3.25,309,5,S40,268,"Q1-Q4,Q6",3.286017
Sample-1,27010191,10736489,12.23,12.92,4823.55,0.995767,2.12884E+18,1.0538915,12.83114,4838.4414,4.379,-0.5187,0.9858,K,2.6,136,19,S40,780,Q1-Q17,
Sample-1,27685142,11872364,14.46,15.053,5247,2.52009,2.13497E+18,0.99695736,15.016674,5128.358,3.7571,-0.1559,2.1016,G,10.17,103,10,S40,302,Q1-Q16,
Sample-1,138296722,6129451,13.78,14.876,3636,0.664513,2.07741E+18,1.1129512,14.856124,3831.7393,4.4637,0.0826,0.8225,M,3.29,301,16,"S40, S41",423,"Q4-Q9, Q12, Q13, Q17",
Sample-1,137759349,5962956,13.96,15.087,3612,0.585935,2.05357E+18,0.95698196,15.035287,3721.3655,4.5338,-0.2678,0.6776,M,1.4,237,13,"S40, S41",248,Q1-Q17,
Sample-1,121785583,4355503,14,15.068,3699,0.576477,2.09971E+18,1.0031289,15.050825,3935.3196,4.6309,0.2184,0.6349,M,5.45,228,52,"S40, S41",693,Q1-Q17,
Sample-1,120257064,3934090,13.96,15.036,3912,0.606897,2.10021E+18,1.0237731,14.913917,4116.5098,4.6446,0.1239,0.6404,K,5.82,219,13,"S40, S41",352,Q1-Q17,
Sample-1,120637232,2692708,12.5,13.719,3458,0.414424,2.09986E+18,1.2057142,13.667021,,,,,M,29.88,132,30,"S40, S41",540,Q1-Q17,4.337669
Sample-2,102032397,,10.593,,5435,1.10499,4.93344E+18,1.0681553,11.109228,5183.8369,4.2455,-0.9387,1.2255,G,3.7,4,13,['S2'],,,
Sample-2,11046349,,9.4225,,5409.98,1.11899,3.25117E+18,1.0018656,9.971282,4993.5981,4.2265,-0.5707,1.2977,K,3.33,2,11,['S2'],,,
Sample-2,114923140,,9.191,,5568,1.03936,3.17993E+18,1.0163748,9.662393,5721.6294,4.4334,0.1077,0.9968,G,4.38,1,3,['S2'],,,
Sample-2,117649333,,9.84571,,5528,0.932366,3.1725E+18,1.1445696,10.35057,5461.7568,4.4165,-0.4619,0.9708,K,2.23,4,16,['S2'],,,
Sample-2,117747153,,8.9968,,5215,0.932204,3.17807E+18,0.9571677,9.53759,5465.0889,4.4295,-0.0487,0.9216,K,2.8,3,19,['S2'],,,
Sample-2,121011020,,8.4227,,5223,1.00574,5.0889E+18,0.9925768,8.909552,5289.2856,4.398,-0.4422,1.0007,G,4.05,3,20,['S2'],,,
Sample-2,121196226,,9.118,,5337,1.39334,6.19728E+18,1.1668837,9.640861,5204.6934,4.161,-0.6815,1.467,G,2.35,3,11,['S2'],,,
Sample-2,12359032,,11.5881,,5471,0.900509,2.32086E+18,0.9616418,12.078456,5747.2642,4.5253,-0.1447,0.8688,G,2.32,2,6,['S2'],,,
Sample-2,12393800,,10.7399,,5571,1.31267,2.32093E+18,1.1342356,11.21567,5439.6704,4.2374,-0.496,1.3477,G,1.03,1,3,['S2'],,,
Sample-2,146381318,,10.472,,5310,0.913623,2.96094E+18,1.9766965,11.001124,5120.6274,4.3751,-0.9322,0.9807,K,1.8,1,2,['S2'],,,
Sample-2,152370762,,8.7695,,5785,1.05055,4.89634E+18,1.0168706,9.223492,5802.1304,4.3679,-0.352,1.0737,G,1.3,2,8,['S2'],,,
Sample-2,159923666,,9.3318,,5490,1.04129,4.85431E+18,0.80188036,9.809495,5742.3979,4.3787,-0.0396,1.0267,G,2.76,1,9,['S2'],,,
Sample-2,159989026,,9.4116,,5660,0.988756,4.85477E+18,0.9041745,9.8487015,5811.6523,4.4261,-0.0673,0.9835,F,2.06,1,6,['S2'],,,
Sample-2,160417350,,10.5501,,5143,1.06134,5.90707E+18,1.4561471,11.13289,5610.3516,4.3705,-0.1118,0.9957,K,2.49,1,5,['S2'],,,
Sample-2,160701354,,9.6845,,5533,1.49611,6.00358E+18,3.2340035,10.18567,5335.6567,4.159,-0.8574,1.4603,G,1.01,1,6,['S2'],,,
Sample-2,161175809,,10.4883,,5441,1.12153,6.5076E+18,5.018325,10.97925,5363.7773,4.3924,0.0841,1.0692,G,1.6,1,1,['S2'],,,
Sample-2,162582602,,10.2852,,5256,0.811902,5.37469E+18,1.0440913,10.80298,5148.9146,4.4816,-0.617,0.8378,K,3.85,2,5,['S2'],,,
Sample-2,165266362,,9.8655,,5325,1.42003,6.07521E+18,2.6840577,10.397763,5524.4805,4.2375,-0.5088,1.3458,K,1.65,2,5,['S2'],,,
Sample-2,165729690,,10.0777,,5185,0.969753,6.11299E+18,5.8978505,10.627868,5369.6904,4.4838,-0.5824,0.8477,K,1.96,1,4,['S2'],,,
Sample-2,166791648,,8.6575,,5379,1.2617,4.85879E+18,1.1599476,9.166524,5387.6016,4.2884,-0.087,1.2846,G,4.99,2,11,['S2'],,,
Sample-2,167704195,,9.7913,,5235,1.14614,6.11859E+18,0.93300855,10.3194,4998.8154,4.2302,-0.7651,1.2471,K,2.14,2,5,['S2'],,,
Sample-2,178350442,,9.6298,,5136,1.00468,5.09434E+18,1.2453916,10.18209,5049.626,4.3626,-0.3307,1.071,K,3.37,1,3,['S2'],,,
Sample-2,178969585,,7.8881,,5785,1.01443,4.89173E+18,1.0271124,8.333164,5756.6396,4.328,-0.2695,1.0374,G,2.39,2,20,['S2'],,,
Sample-2,179951420,,9.5816,,5848,0.968086,6.10401E+18,2.6878405,10.02293,5572.6567,4.3469,-1.0428,1.055,G,1.38,1,2,['S2'],,,
