TICID,KICID,Tmag,Prot,Teff,Teff_G,RUWE,TESS_Sector,Nf_TESS,TIC_low_all,TIC_upper_all,,alp_TICOrig,alp_TICOrig_err,beta_TICOrig,beta_TICOrig_err,,alp_TICCorr,alp_TICCorr_err,beta_TICCorr,beta_TICCorr_err,,Nf_Kepler,KIC_low_all,KIC_upper_all,alp_KICOrig,alp_KICOrig_err,beta_KICOrig,beta_KICOrig_err,EngLow_Range65,alp_KICCorr,alp_KICCorr_err,beta_KICCorr,beta_KICCorr_err,EngLow_Range15
164670606,8935655,12.35,2,3371,3371,1.1900032,"14,26,40",49,31.3422909,33.1949551,,-0.8481,0.07351202,27.19,2.38096312,,-0.8289,0.11411554,26.87,3.68298349,,1602,29.8484194,34.7276294,-1.331388343,0.034971755,43.01913732,1.174180727,32.8232501,-1.584866706,0.037437185,51.83577122,1.251721812,32.4674862
27454242,12314646,13.15,2.72,3675,3621.5513,2.048585,40,19,32.69269222,35.35990174,,-0.5142,0.03681523,16.73,1.25473846,,-1.385,0.2715855,47,9.19234931, ,1191,31.86691047,35.68840942,-1.326,0.0268001,44.29,0.92794802,33.83204336,-1.287,0.01681338,43.27,0.57781191,33.10748531
27770198,11147271,14.13,1.88,3435,3468.937,1.1977603,"40, 41",20,32.35459875,33.92886174,,-1.052,0.2508433,33.6841381,8.27712323,,-1.502,0.4236297,49.1266478,13.9581179, ,198,31.92817851,34.71461464,-1.483,0.0878942,48.77,2.9846084,33.50394208,-1.392,0.04664633,45.9536555,1.57574994,32.94290503
158552258,7350067,14.42,3.51,3391,3448.6882,1.0211711,"40, 41",26,32.39082725,34.1711557,,-0.7322,0.17255106,23.32,5.72868009,,-1.407,0.14709655,46.38,4.88359249, ,958,31.59315225,34.71809924,-1.164,0.05444615,37.43,1.83842847,33.05755983,-1.363,0.03454109,44.56,1.16347,32.69648249
27010191,10736489,12.23,2.6,4823.55,4838.4414,1.0538915,40,19,33.23218154,35.08097835,,-0.7198846,0.20484997,23.5448908,6.96254506,,-0.965690697,0.282582224,32.25227785,9.637749116, ,780,31.63506017,35.68361614,-1.823,0.20370332,61.92,7.14192019,34.65188046,-1.523,0.04783516,51.76,1.67276807,34.2269996
137759349,5962956,13.96,1.4,3612,3721.3655,0.95698196,"40, 41",13,32.84591806,33.6317477,,-1.8822636,0.114004377,61.44434329,3.787580046,,-2.038,0.56108563,67.92,18.63661814, ,248,31.97334518,34.58393253,-0.8995,0.05138445,28.8,1.73511655,33,-1.511,0.10763402,50.22,3.64078953,32.5
121785583,4355503,14,5.45,3699,3935.3196,1.0031289,"40, 41",52,32.58627481,34.44550624,,-1.125,0.17573701,36.88,5.87692038,,-1.385,0.17051265,46.07,5.70088145, ,693,32.31482126,34.90990564,-1.448,0.02101575,47.29,0.71298374,33.31311626,-1.554,0.01864286,51.29,0.63202469,32.98894079
120257064,3934090,13.96,5.82,3912,4116.5098,1.0237731,"40, 41",13,32.83606467,34.76915717,,-0.4853,0.18957747,15.21,6.43262669,,-1.296,0.23443923,43.59,7.86725764, ,352,32.57740755,35.05825572,-0.9229,0.03462985,29.81,1.18523905,33.41755027,-1.182,0.02440933,38.86,0.83150276,33.11072304
138296722,6129451,13.78,3.29,3636,3831.7393,1.1129512,"40, 41",16,33.01956759,34.28610572,,-0.9747,0.09058404,31.76,3.04376106,,-2.362,0.54614886,78.93,18.37014779, ,423,32.30569484,35.35788297,-0.893,0.04557159,28.91,1.57533156,33.89098357,-1.381,0.05730515,43.9,2.04931431,33.44441046
120629872,2692704,12.13,14.9,3482,,1.3013248,"14,40,41",43,31.7128468,33.3376557,,-1.257,0.22956595,40.35,7.48583989,,-1.805,0.16981631,58.68,5.55830753, ,993,31.0441684,34.9218107,-1.19,0.03062501,38.47,1.02931775,32.7406369,-1.141,0.02663039,37.19,0.89498332,32.3367159
406952118,12646841,13.33,3.25,3445,3524.6135,1.1672926,40,5,32.64091382,32.87971053,,-2.579,0.67789909,83.33006112,22.1829814,,-1.202,0.79094242,39.97084338,25.88211337, ,268,32.06271636,34.93956215,-1.121,0.03068551,36.39,1.037744,33.02166496,-1.305,0.02732227,42.96,0.92083262,32.72199352
27685142,11872364,14.46,10.17,5247,5128.358,0.99695736,40,10,34.05897545,36.85829474,, , , , ,,-0.5079,0.2620054,17.79,9.25197952, ,302,33.34745732,35.89009793,-1.438,0.07967397,48.31,2.76785492,34.08872672,-1.192,0.03857764,40.03,1.33920568,33.68124375
120637232,2692708,12.5,29.88,3458,,1.2057142,"40, 41",30,31.7330323,33.07366342,,-1.011,0.16238557,31.95,5.24580782,,-1.871,0.20720098,60.42,6.70594835,,540,31.2896077,34.9928741,-0.7554,0.03165932,23.28,1.05106556,32.3697271,-0.9975,0.03877047,31.52,1.28152783,31.9839702
