,Samples,TICID,KICID,all_alp_orig,all_alp_origerr,all_beta_orig,all_beta_origerr,all_alp_corr,all_alp_correrr,all_beta_corr,all_beta_correrr,up15_alp_orig,up15_alp_origerr,up15_beta_orig,up15_beta_origerr,up15_alp_corr,up15_alp_correrr,up15_beta_corr,up15_beta_correrr,up65_alp_orig,up65_alp_origerr,up65_beta_orig,up65_beta_origerr,up65_alp_corr,up65_alp_correrr,up65_beta_corr,up65_beta_correrr
0,Sample-2,102032397,,-0.676055982,0.087669128,22.27741264,2.982665089,-0.959646562,0.061455025,32.25606122,2.105972086,-0.710401915,0.132543205,23.45926298,4.530629444,-0.938183832,0.076184364,31.51420482,2.617174794,-1.436038643,0.258438784,48.51621394,8.916239335,-1.121050266,0.183676993,37.86042382,6.359181016
1,Sample-2,11046349,,-0.614766261,0.033083426,19.94589177,1.117579936,-0.891434512,0.05165424,29.59806741,1.748553417,-0.599601964,0.038630132,19.42746005,1.308515297,-0.853196894,0.051471995,28.28764749,1.746472748,-0.727482168,0.07237714,23.81641415,2.477284416,-0.775748699,0.061347444,25.6324693,2.105910421
2,Sample-2,117649333,,-0.654977477,0.046447135,21.46712131,1.572510139,-0.796680734,0.057054349,26.60452732,1.94202851,-0.660622154,0.06680561,21.66068764,2.272634276,-0.75067551,0.056987336,25.01700503,1.945347716,-0.581491728,0.08063113,18.93209684,2.75730113,-0.68102058,0.103551968,22.60179024,3.568442285
3,Sample-2,117747153,,-0.530774949,0.023404753,17.27094099,0.790918543,-0.791264772,0.065423423,26.38192926,2.213444485,-0.509416332,0.028563633,16.53678842,0.97044421,-0.616333072,0.03865302,20.36204499,1.316647517,-0.538034561,0.050042584,17.5271758,1.716615856,-0.536981452,0.041893947,17.61743801,1.437428699
4,Sample-2,121011020,,-0.491005152,0.02721505,15.8851833,0.917493506,-0.750330234,0.079462017,24.90849272,2.659769245,-0.472772282,0.038191602,15.25708688,1.297927468,-0.579267349,0.062029857,19.06966815,2.094558806,-0.490652738,0.141329292,15.87815804,4.885759041,-0.435172015,0.049393203,14.11847379,1.687480547
5,Sample-2,121196226,,-0.396020092,0.039760083,12.7878863,1.368007217,-0.590311663,0.110986801,19.77486526,3.851733442,-0.391499902,0.05209188,12.63005836,1.800423524,-0.384859669,0.040342948,12.53889332,1.408015927,-0.619447979,0.080123668,20.64051154,2.809942571,-0.46843002,0.060653942,15.50028466,2.13824999
6,Sample-2,12359032,,-0.796858977,0.117709119,26.33861175,4.031398451,-0.965155258,0.055244117,32.36067653,1.903043316,-0.796858977,0.117709119,26.33861175,4.031398451,-0.965155258,0.055244117,32.36067653,1.903043316,-0.982804638,0.063046947,32.74931657,2.173188797,-1.111332392,0.061564463,37.42485668,2.129310072
7,Sample-2,152370762,,-0.510653452,0.064131302,16.39898652,2.176631763,-0.736288004,0.134269266,24.36475275,4.580730147,-0.474363421,0.08114763,15.15151874,2.765271061,-0.736288004,0.134269266,24.36475275,4.580730147,-0.454272833,0.22531316,14.45382189,7.748756838,-0.487727979,0.126485019,15.75954146,4.368063352
8,Sample-2,159923666,,-0.495047088,0.062447513,15.85988391,2.11710372,-0.948555594,0.224128065,31.67586147,7.575725538,,,,,,,,,,,,,,,,
9,Sample-2,159989026,,-0.659729657,0.102514001,21.23283217,3.45672163,-1.063356181,0.047454708,35.24701781,1.611158721,-0.922764447,0.085614452,30.17181786,2.907787198,-1.092180952,0.121892962,36.23277947,4.161959456,,,,,,,,
